LMP8760,gas8760
-0.5923,3.062
-5.7417,3.062
1.9853,3.062
1.993,3.062
12.1919,3.062
13.4271,3.062
12.5968,3.062
12.6799,3.062
13.0105,3.062
13.4693,3.062
5.1689,3.062
3.8881,3.062
2.8522,3.062
5.5629,3.062
6.0343,3.062
1.745,3.062
-4.9585,3.062
-7.9362,3.062
-16.1585,3.062
-3.1767,3.062
12.167,3.062
11.2287,3.062
18.0487,3.062
14.8149,3.062
21.8951,3.062
18.6393,3.062
34.6919,3.062
20.6504,3.062
18.5455,3.062
18.6689,3.062
18.6715,3.062
20.1207,3.062
19.4576,3.062
36.0108,3.062
23.4599,3.062
49.2992,3.062
35.6427,3.062
23.0782,3.062
20.1856,3.062
36.0327,3.062
17.4398,3.062
18.1901,3.062
18.6672,3.062
22.5494,3.062
21.9665,3.062
20.3928,3.062
18.2082,3.062
20.1221,3.062
39.1256,3.062
30.4295,3.062
19.1551,3.062
17.9942,3.062
16.4053,3.062
13.6338,3.062
12.0245,3.062
11.9924,3.062
3.1955,3.062
2.947,3.062
10.477,3.062
9.452,3.062
11.231,3.062
14.5477,3.062
14.4325,3.062
-3.6936,3.062
1.6474,3.062
4.1738,3.062
-3.6802,3.062
-1.2038,3.062
6.294,3.062
4.1384,3.062
6.2776,3.062
5.9388,3.062
10.0386,3.062
5.7222,3.062
6.7839,3.062
10.8164,3.062
11.2192,3.062
12.954,3.062
14.1689,3.062
15.0155,3.062
16.5232,3.062
17.767,3.062
17.1886,3.062
17.4766,3.062
17.2627,3.062
16.8704,3.062
15.6381,3.062
14.9156,3.062
14.2467,3.062
13.7552,3.062
13.0096,3.062
12.9863,3.062
13.3801,3.062
13.7643,3.062
14.8955,3.062
15.6265,3.062
16.1243,3.062
16.5568,3.062
17.2689,3.062
16.8987,3.062
17.6709,3.062
18.0774,3.062
17.6701,3.062
17.5709,3.062
18.216,3.062
17.8003,3.062
17.7951,3.062
17.3509,3.062
18.1371,3.062
18.3605,3.062
17.5037,3.062
17.5711,3.062
17.4389,3.062
17.3744,3.062
17.5517,3.062
17.5155,3.062
17.99,3.062
19.0024,3.062
19.6451,3.062
